Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,  ..  ,"$20,619.57","$24,015.42","$25,921.54","$27,549.89","$24,640.42","$24,289.14","$25,353.79",  ..  ,  ..  ,  ..  ,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,ADO,"$18,876.73","$21,432.96","$42,417.23","$47,253.53","$46,736.00","$42,701.45","$39,639.39","$41,630.05","$39,666.37","$42,806.52",  ..  ,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,  ..  ,  ..  ,$280.25,$380.40,$384.13,$458.96,$569.94,$622.38,$690.84,$666.80,$633.57,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,$901.11,$606.27,"$2,825.07","$3,402.15","$4,462.13","$3,565.18","$3,928.82","$5,053.74","$5,531.78","$5,900.53",  ..  ,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,$639.46,"$1,175.79","$3,005.01","$3,603.01","$4,370.54","$4,114.14","$4,094.36","$4,437.81","$4,247.49","$4,411.26","$4,564.39",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,"$27,989.30","$34,207.54","$42,950.10","$42,913.78","$45,720.02","$32,905.05","$34,341.91","$39,901.22","$41,712.12","$42,831.09","$43,962.71",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,"$4,318.77","$7,669.27","$6,639.91","$8,239.14","$9,999.09","$9,231.38","$11,198.64","$13,392.92","$14,357.41","$14,443.07","$12,509.53",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,$636.68,$621.42,"$2,126.62","$3,080.97","$3,919.98","$2,915.58","$3,124.78","$3,417.17","$3,565.52","$3,716.83","$3,873.53",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,"$6,325.24","$10,094.76","$13,599.91","$15,276.07","$15,786.17","$13,979.26","$13,017.31","$12,817.84","$13,525.62","$13,342.09","$13,432.08",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,"$18,221.69","$21,665.12","$36,084.86","$40,957.83","$49,628.12","$42,715.13","$51,845.65","$62,216.55","$67,646.10","$67,652.68","$61,979.90",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,"$21,628.76","$24,517.27","$40,430.99","$46,586.65","$51,386.38","$47,654.19","$46,659.84","$51,123.56","$48,324.25","$50,557.80","$51,122.43",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,"$1,237.32",$655.10,"$2,473.09","$3,851.44","$5,574.60","$4,950.29","$5,842.81","$7,189.69","$7,393.77","$7,811.62","$7,886.46",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,$201.69,$128.64,$154.92,$159.27,$182.69,$190.39,$214.23,$240.61,$244.20,$259.37,$286.00,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,"$20,710.66","$23,207.41","$38,852.36","$44,403.83","$48,424.59","$44,880.56","$44,382.88","$47,699.81","$44,731.22","$46,625.32","$47,327.62",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,$391.89,$369.70,$609.02,$685.55,$794.87,$768.01,$732.95,$799.04,$807.69,$882.64,$903.46,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,$351.98,$226.80,$422.48,$474.71,$569.01,$551.84,$574.46,$665.81,$673.03,$708.84,$713.06,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,$298.14,$406.53,$495.85,$543.08,$618.08,$683.61,$760.33,$838.55,$858.93,$954.40,"$1,086.81",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,"$2,377.34","$1,609.28","$4,455.69","$5,932.90","$7,296.12","$6,955.99","$6,752.55","$7,750.04","$7,333.36","$7,656.64","$7,851.27",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,"$8,528.76","$13,590.52","$19,669.32","$21,167.62","$23,043.03","$19,166.71","$20,386.02","$22,238.71","$23,063.13","$24,378.94","$24,855.22",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,"$12,350.88","$21,241.17","$23,721.16","$24,306.14","$23,657.37","$22,043.01","$21,920.52","$21,514.90","$22,112.61","$22,315.60","$22,217.49",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,  ..  ,"$1,451.66","$3,351.96","$4,108.00","$4,974.66","$4,586.21","$4,475.09","$4,860.78","$4,494.64","$4,748.04","$4,851.66",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,"$1,704.74","$1,273.05","$3,848.59","$4,735.96","$6,376.17","$5,176.04","$5,818.85","$6,305.77","$6,721.83","$7,722.12","$8,040.05",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,"$2,202.32","$3,364.46","$4,187.23","$4,324.83","$4,470.22","$4,258.84","$4,344.14","$4,517.12","$4,674.29","$4,719.14","$4,831.18",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,"$26,841.52","$56,284.17","$83,912.70","$90,849.59","$93,605.75","$88,463.31","$88,207.33","$85,973.16","$85,458.46","$85,748.07",  ..  ,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,$709.95,"$1,007.00","$1,233.59","$1,389.63","$1,736.92","$1,776.86","$1,981.16","$2,377.70","$2,645.29","$2,948.03","$3,124.08",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,"$3,071.63","$3,728.51","$5,808.34","$7,246.87","$8,706.82","$8,474.88","$11,121.42","$13,039.12","$12,157.31","$12,071.78","$11,726.81",  ..  
